State,total,x,y,abbr,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Alaska,733391,0,0,AK,437551,28359,110300,44818,13172,18192,88634
California,39538223,0,3,CA,16296122,2237044,631016,6085947,157263,8370596,5760235
Hawaii,1455271,0,7,HI,333261,23417,4370,541902,157445,26747,368129
Washington,7705281,1,2,WA,5130920,307565,121468,730596,64933,513140,836659
Oregon,4237256,1,3,OR,3169096,82655,62993,194538,19204,265431,443339
Nevada,3104614,1,4,NV,1588463,304739,43932,272703,25011,435757,434009
Montana,1084225,2,2,MT,916524,5484,67612,8300,941,14089,71275
Idaho,1839106,2,3,ID,1510360,15726,25621,26836,3726,103632,153205
Utah,3271616,2,4,UT,2573413,40058,41644,80438,36930,220120,279013
Arizona,7151502,2,5,AZ,4322337,339150,319512,257430,16397,899870,996806
North Dakota,779094,3,2,ND,645938,26783,38914,13213,924,11382,41940
Wyoming,576851,3,3,WY,488374,5232,13898,5212,579,20083,43473
Colorado,5773714,3,4,CO,4082927,234828,74129,199827,10287,464046,707670
New Mexico,2117522,3,5,NM,1078937,45904,212241,37469,2093,318632,422246
Texas,29145505,3,6,TX,14609365,3552997,278948,1585480,33611,3951366,5133738
South Dakota,886667,4,2,SD,715336,17842,77748,13476,543,15057,46665
Nebraska,1961504,4,3,NE,1538052,96535,23102,52951,1534,105167,144163
Kansas,2937880,4,4,KS,2222462,168809,30995,86273,3412,145422,280507
Oklahoma,3959353,4,5,OK,2514885,289961,332791,90949,8608,214001,508158
Louisiana,4657757,4,6,LA,2657652,1464023,31657,86438,1911,142699,273377
Minnesota,5706494,5,2,MN,4423146,398434,68641,299190,2918,168444,345721
Iowa,3190369,5,3,IA,2694521,131972,14486,75629,5758,88720,179283
Missouri,6154913,5,4,MO,4740335,699840,30518,133377,9730,127942,413171
Arkansas,3011524,5,5,AR,2114512,453783,27177,51839,14533,136105,213575
Mississippi,2961279,5,6,MS,1658893,1084481,16450,32709,1154,56860,110732
Wisconsin,5893718,6,2,WI,4737545,376256,60428,175702,2199,182054,359534
Illinois,12812508,6,3,IL,7868227,1808271,96498,754878,4501,1135149,1144984
Kentucky,4505836,6,4,KY,3711254,362417,12801,74426,3681,96417,244840
Tennessee,6910840,6,5,TN,4990938,1092948,28044,135615,4115,246282,412898
Alabama,5024279,6,6,AL,3220452,1296162,33625,76660,2984,137443,256953
Michigan,10077331,7,2,MI,7444974,1376579,61261,334300,3051,221851,635315
Indiana,6785528,7,3,IN,5241795,648513,26086,167959,3137,261312,436726
West Virginia,1793716,7,4,WV,1610749,65813,3706,15109,476,12919,84944
Virginia,8631393,7,5,VA,5208856,1607581,40007,615436,7156,446650,705707
Georgia,10711908,7,6,GA,5555483,3320513,50618,479028,7299,555059,743908
Florida,21538187,7,7,FL,12422961,3246381,94795,643682,14014,1564282,3552072
Ohio,11799448,8,3,OH,9080688,1478781,30720,298509,5034,224344,681372
District of Columbia,689545,8,4,DC,273194,285810,3193,33545,432,37294,56077
North Carolina,10439388,8,5,NC,6488459,2140217,130032,343051,8518,617390,711721
South Carolina,5118425,8,6,SC,3243442,1280531,24303,90466,3431,177876,298376
Vermont,643077,9,1,VT,577751,9034,2289,11549,181,5247,37026
New York,20201249,9,2,NY,11143349,2986172,149690,1933127,10815,2210633,1767463
Pennsylvania,13002700,9,3,PA,9750687,1423169,31052,510501,4276,508531,774484
Maryland,6177224,9,4,MD,3007874,1820472,31845,420944,3247,410941,481901
New Hampshire,1377529,10,1,NH,1216203,20127,3031,35871,453,24102,77742
Connecticut,3605944,10,2,CT,2395128,388675,16051,172455,1598,299133,332904
New Jersey,9288994,10,3,NJ,5112280,1219770,51186,950090,3533,1048641,903494
Delaware,989948,10,4,DE,597763,218899,5148,42699,412,48509,76518
Maine,1362359,11,0,ME,1237041,25752,7885,16798,443,9730,64710
Massachusetts,7029917,11,1,MA,4896037,494029,24018,507934,2301,496731,608867
Rhode Island,1097379,11,2,RI,782920,62168,7385,38961,536,103615,101794
