state,month,total_customers_out,State,total,x,y,abbr,name,fips,Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Alaska,1,229292,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,2,379357,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,3,336566,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,4,215665,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,5,114139,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,6,316953,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,7,222440,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,8,460167,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,9,501153,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,10,265400,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,11,505461,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
Alaska,12,875026,Alaska,733391,0,0,AK,Alaska,2,733391,635190,437551,28359,110300,44818,13172,18192,88634
California,1,16810052,California,39538223,0,3,CA,California,6,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235
California,2,21202890,California,39538223,0,3,CA,California,6,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235
California,3,23284507,California,39538223,0,3,CA,California,6,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235
