State,avg_customers_out,month,total
Alaska,28661.5,1,733391
Alaska,54193.857142857145,2,733391
Alaska,42070.75,3,733391
Alaska,30809.285714285714,4,733391
Alaska,14267.375,5,733391
Alaska,39619.125,6,733391
Alaska,27805.0,7,733391
Alaska,57520.875,8,733391
Alaska,62644.125,9,733391
Alaska,33175.0,10,733391
Alaska,72208.71428571429,11,733391
Alaska,125003.71428571429,12,733391
California,289828.4827586207,1,39538223
California,365567.0689655172,2,39538223
California,401457.0172413793,3,39538223
California,179170.93103448275,4,39538223
California,280504.5789473684,5,39538223
California,283226.6206896552,6,39538223
California,290567.9482758621,7,39538223
California,884619.1724137932,8,39538223
California,1406661.1206896552,9,39538223
California,1624770.9137931035,10,39538223
California,322124.224137931,11,39538223
California,487612.1228070175,12,39538223
Hawaii,191399.5,1,1455271
Hawaii,349883.0,2,1455271
Hawaii,228536.5,3,1455271
Hawaii,184332.5,4,1455271
Hawaii,101065.0,5,1455271
Hawaii,122724.0,6,1455271
Hawaii,124602.5,7,1455271
Hawaii,57951.5,8,1455271
Hawaii,156224.5,9,1455271
Hawaii,187007.0,10,1455271
Hawaii,84258.0,11,1455271
Hawaii,196566.66666666666,12,1455271
Washington,204217.75675675675,1,7705281
Washington,185583.02702702704,2,7705281
Washington,48069.885714285716,3,7705281
Washington,31901.82857142857,4,7705281
Washington,96407.34285714285,5,7705281
Washington,65520.97222222222,6,7705281
Washington,53310.14705882353,7,7705281
Washington,59561.970588235294,8,7705281
Washington,454966.17647058825,9,7705281
Washington,238709.91176470587,10,7705281
Washington,163340.5294117647,11,7705281
Washington,89805.29411764706,12,7705281
Oregon,122434.88571428572,1,4237256
Oregon,31405.82857142857,2,4237256
Oregon,25861.647058823528,3,4237256
Oregon,75217.65714285715,4,4237256
Oregon,136298.65714285715,5,4237256
Oregon,55876.6,6,4237256
Oregon,44787.77142857143,7,4237256
Oregon,50148.882352941175,8,4237256
Oregon,1296358.1764705882,9,4237256
Oregon,102365.67647058824,10,4237256
Oregon,101501.23529411765,11,4237256
Oregon,57582.117647058825,12,4237256
Nevada,18663.9375,1,3104614
Nevada,33442.125,2,3104614
