fips_code,county,state_name,state_abbr,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023
1001,autauga county,alabama,AL,55869.0,58909.0,59191.0,59736.0,60436.0
1003,baldwin county,alabama,AL,223234.0,233244.0,239411.0,246577.0,254107.0
1005,barbour county,alabama,AL,24686.0,24975.0,24517.0,24722.0,24644.0
1007,bibb county,alabama,AL,22394.0,22176.0,22344.0,21983.0,21890.0
1009,blount county,alabama,AL,57826.0,59110.0,59050.0,59491.0,59777.0
1011,bullock county,alabama,AL,10101.0,10230.0,10126.0,10126.0,9908.0
1013,butler county,alabama,AL,19448.0,19027.0,18856.0,18652.0,18357.0
1015,calhoun county,alabama,AL,113605.0,116242.0,115633.0,115744.0,116403.0
1017,chambers county,alabama,AL,33254.0,34572.0,34396.0,34093.0,34087.0
1019,cherokee county,alabama,AL,26196.0,24981.0,25060.0,25334.0,25700.0
1021,chilton county,alabama,AL,44428.0,45060.0,45255.0,45856.0,46525.0
1023,choctaw county,alabama,AL,12589.0,12622.0,12544.0,12420.0,12263.0
1025,clarke county,alabama,AL,23622.0,22989.0,22735.0,22545.0,22305.0
1027,clay county,alabama,AL,13235.0,14210.0,14156.0,14198.0,14157.0
1029,cleburne county,alabama,AL,14910.0,15063.0,15151.0,15353.0,15658.0
1031,coffee county,alabama,AL,52342.0,53565.0,54201.0,54769.0,55707.0
1033,colbert county,alabama,AL,55241.0,57305.0,57615.0,58023.0,58382.0
1035,conecuh county,alabama,AL,12067.0,11551.0,11317.0,11220.0,11177.0
1037,coosa county,alabama,AL,10663.0,10340.0,10321.0,10283.0,10267.0
1039,covington county,alabama,AL,37049.0,37513.0,37512.0,37508.0,37861.0
1041,crenshaw county,alabama,AL,13772.0,13171.0,13062.0,13096.0,13168.0
1043,cullman county,alabama,AL,83768.0,88142.0,89578.0,90597.0,91909.0
1045,dale county,alabama,AL,49172.0,49260.0,49344.0,49472.0,49852.0
1047,dallas county,alabama,AL,37196.0,38185.0,37496.0,36772.0,36294.0
1049,dekalb county,alabama,AL,71513.0,71673.0,71880.0,72046.0,72626.0
1051,elmore county,alabama,AL,81209.0,87871.0,88734.0,89566.0,90416.0
1053,escambia county,alabama,AL,36633.0,36687.0,36628.0,36620.0,36582.0
1055,etowah county,alabama,AL,102268.0,103437.0,102887.0,102821.0,103174.0
1057,fayette county,alabama,AL,16302.0,16329.0,16119.0,16041.0,15913.0
1059,franklin county,alabama,AL,31362.0,32076.0,31991.0,31947.0,31941.0
1061,geneva county,alabama,AL,26271.0,26703.0,26632.0,26787.0,27052.0
1063,greene county,alabama,AL,8111.0,7701.0,7583.0,7412.0,7299.0
1065,hale county,alabama,AL,14651.0,14771.0,14715.0,14613.0,14931.0
1067,henry county,alabama,AL,17205.0,17171.0,17412.0,17638.0,17872.0
1069,houston county,alabama,AL,105882.0,107300.0,107412.0,108063.0,108556.0
1071,jackson county,alabama,AL,51626.0,52532.0,52688.0,52842.0,53423.0
1073,jefferson county,alabama,AL,658573.0,674727.0,669677.0,665543.0,664084.0
1075,lamar county,alabama,AL,13805.0,13954.0,13725.0,13628.0,13616.0
1077,lauderdale county,alabama,AL,92729.0,94031.0,94846.0,95903.0,96867.0
1079,lawrence county,alabama,AL,32924.0,33075.0,33052.0,33182.0,33505.0
1081,lee county,alabama,AL,164542.0,174856.0,177652.0,181044.0,184271.0
1083,limestone county,alabama,AL,98915.0,104209.0,107285.0,110926.0,114803.0
1085,lowndes county,alabama,AL,9726.0,10284.0,9936.0,9778.0,9682.0
1087,macon county,alabama,AL,18068.0,19472.0,18917.0,18561.0,18347.0
1089,madison county,alabama,AL,372909.0,390527.0,396663.0,404155.0,413891.0
1091,marengo county,alabama,AL,18863.0,19271.0,18978.0,18790.0,18705.0
1093,marion county,alabama,AL,29709.0,29175.0,28972.0,29171.0,29279.0
1095,marshall county,alabama,AL,96774.0,97706.0,98268.0,99570.0,101041.0
1097,mobile county,alabama,AL,413210.0,414409.0,413164.0,411291.0,411745.0
1099,monroe county,alabama,AL,20733.0,19704.0,19530.0,19403.0,19244.0
1101,montgomery county,alabama,AL,226486.0,228363.0,226811.0,226554.0,225966.0
1103,morgan county,alabama,AL,119679.0,123329.0,123270.0,124218.0,125455.0
1105,perry county,alabama,AL,8923.0,8456.0,8314.0,7893.0,7772.0
1107,pickens county,alabama,AL,19930.0,18962.0,18615.0,18780.0,18741.0
1109,pike county,alabama,AL,33114.0,32904.0,32748.0,32998.0,33163.0
1111,randolph county,alabama,AL,22722.0,22093.0,22157.0,22442.0,22789.0
1113,russell county,alabama,AL,57961.0,59252.0,58651.0,58522.0,58792.0
1115,st. clair county,alabama,AL,89512.0,91687.0,92850.0,93879.0,95487.0
1117,shelby county,alabama,AL,217702.0,223915.0,227436.0,230140.0,233593.0
1119,sumter county,alabama,AL,12427.0,12192.0,11960.0,11894.0,11737.0
