index,Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,county,state,fips_code
"San Francisco County, California",873965,787732,361382,46725,6475,296505,3476,73169,86233,San Francisco County,California,6075
"Suffolk County, Massachusetts",797936,708969,375467,145566,3865,81140,409,102522,88967,Suffolk County,Massachusetts,25025
"Banner County, Nebraska",674,635,614,0,5,3,0,13,39,Banner County,Nebraska,31007
"Vance County, North Carolina",42578,40870,16682,21237,161,286,11,2493,1708,Vance County,North Carolina,37181
"Sherman County, Texas",2782,2188,1612,12,37,3,0,524,594,Sherman County,Texas,48421
"Franklin County, Vermont",49946,46987,45509,338,501,321,16,302,2959,Franklin County,Vermont,50011
"Lynchburg city, Virginia",79009,74405,48502,21453,243,1766,41,2400,4604,Lynchburg city,Virginia,51680
"Nevada County, Arkansas",8310,7927,5218,2444,45,45,0,175,383,Nevada County,Arkansas,5099
"Broomfield County, Colorado",74112,66010,56334,989,435,5146,89,3017,8102,Broomfield County,Colorado,8014
"Madison County, Idaho",52913,49976,45273,736,244,959,231,2533,2937,Madison County,Idaho,16065
"Clinton County, Illinois",36899,35317,33085,1151,106,180,5,790,1582,Clinton County,Illinois,17027
"Calhoun County, Iowa",9927,9651,9357,152,24,26,8,84,276,Calhoun County,Iowa,19025
"Lee County, Kentucky",7395,7226,6909,280,2,0,0,35,169,Lee County,Kentucky,21129
"Livingston Parish, Louisiana",142282,133278,116855,11268,463,1123,38,3531,9004,Livingston Parish,Louisiana,22063
"Johnson County, Nebraska",5290,5072,4187,315,52,76,0,442,218,Johnson County,Nebraska,31097
"Keith County, Nebraska",8335,7855,7509,19,35,46,7,239,480,Keith County,Nebraska,31101
"Salem city, Virginia",25346,23973,20923,1949,48,541,9,503,1373,Salem city,Virginia,51775
"Wilson County, Texas",49753,40399,34471,776,473,254,33,4392,9354,Wilson County,Texas,48493
"Dawson County, Texas",12456,10488,7609,899,100,56,4,1820,1968,Dawson County,Texas,48115
"Grant County, South Dakota",7556,7224,6846,3,90,16,3,266,332,Grant County,South Dakota,46051
